year,month,day,rainfall,status,date
2024,3,30,8.5,Low,2024-03-30
2024,3,31,6.7,Low,2024-03-31
2024,4,1,4.5,Low,2024-04-01
2024,4,2,1.0,None,2024-04-02
2024,4,3,6.0,Low,2024-04-03
2024,4,4,0.0,None,2024-04-04
2024,4,5,3.0,Low,2024-04-05
2024,4,6,0.0,None,2024-04-06
2024,4,7,0.0,None,2024-04-07
2024,4,8,0.0,None,2024-04-08
2024,4,9,0.0,None,2024-04-09
2024,4,10,0.7,None,2024-04-10
2024,4,11,0.0,None,2024-04-11
2024,4,12,40.0,High,2024-04-12
2024,4,13,0.0,None,2024-04-13
2024,4,14,0.0,None,2024-04-14
2024,4,15,1.0,None,2024-04-15
2024,4,16,0.0,None,2024-04-16
2024,4,17,27.0,High,2024-04-17
2024,4,18,0.0,None,2024-04-18
2024,4,19,0.0,None,2024-04-19
2024,4,20,0.0,None,2024-04-20
2024,4,21,0.0,None,2024-04-21
2024,4,22,0.0,None,2024-04-22
2024,4,23,0.0,None,2024-04-23
2024,4,24,5.0,Low,2024-04-24
2024,4,25,8.0,Low,2024-04-25
2024,4,26,0.4,None,2024-04-26
2024,4,27,0.8,None,2024-04-27
2024,4,28,1.0,None,2024-04-28
2024,4,29,0.0,None,2024-04-29
2024,4,30,0.0,None,2024-04-30
2024,5,1,3.6,Low,2024-05-01
2024,5,2,0.9,None,2024-05-02
2024,5,3,0.0,None,2024-05-03
2024,5,4,0.0,None,2024-05-04
2024,5,5,0.0,None,2024-05-05
2024,5,6,0.0,None,2024-05-06
2024,5,7,0.0,None,2024-05-07
2024,5,8,0.1,None,2024-05-08
2024,5,9,0.0,None,2024-05-09
2024,5,10,0.0,None,2024-05-10
2024,5,11,0.0,None,2024-05-11
2024,5,12,0.0,None,2024-05-12
2024,5,13,0.0,None,2024-05-13
2024,5,14,27.0,High,2024-05-14
2024,5,15,2.0,Low,2024-05-15
2024,5,16,0.0,None,2024-05-16
2024,5,17,0.0,None,2024-05-17
2024,5,18,0.0,None,2024-05-18
2024,5,19,0.0,None,2024-05-19
2024,5,20,0.0,None,2024-05-20
2024,5,21,0.0,None,2024-05-21
2024,5,22,0.0,None,2024-05-22
2024,5,23,0.0,None,2024-05-23
2024,5,24,0.0,None,2024-05-24
2024,5,25,6.0,Low,2024-05-25
2024,5,26,0.0,None,2024-05-26
2024,5,27,0.0,None,2024-05-27
2024,5,28,0.0,None,2024-05-28
2024,5,29,0.0,None,2024-05-29
2024,5,30,0.0,None,2024-05-30
2024,5,31,0.0,None,2024-05-31
2024,6,1,3.6,Low,2024-06-01
2024,6,2,0.9,None,2024-06-02
2024,6,3,0.0,None,2024-06-03
2024,6,4,0.0,None,2024-06-04
2024,6,5,0.0,None,2024-06-05
2024,6,6,0.0,None,2024-06-06
2024,6,7,0.0,None,2024-06-07
2024,6,8,0.1,None,2024-06-08
2024,6,9,0.0,None,2024-06-09
2024,6,10,0.0,None,2024-06-10
2024,6,11,0.0,None,2024-06-11
2024,6,12,0.0,None,2024-06-12
2024,6,13,0.0,None,2024-06-13
2024,6,14,27.0,High,2024-06-14
2024,6,15,2.0,Low,2024-06-15
2024,6,16,0.0,None,2024-06-16
2024,6,17,0.0,None,2024-06-17
2024,6,18,0.0,None,2024-06-18
2024,6,19,0.0,None,2024-06-19
2024,6,20,0.0,None,2024-06-20
2024,6,21,0.0,None,2024-06-21
2024,6,22,0.0,None,2024-06-22
2024,6,23,0.0,None,2024-06-23
2024,6,24,0.0,None,2024-06-24
2024,6,25,6.0,Low,2024-06-25
2024,6,26,0.0,None,2024-06-26
2024,6,27,0.0,None,2024-06-27
2024,6,28,0.0,None,2024-06-28
2024,6,29,0.0,None,2024-06-29
2024,6,30,0.0,None,2024-06-30
2024,7,1,0.0,None,2024-07-01
2024,7,2,0.6,None,2024-07-02
2024,7,3,3.0,Low,2024-07-03
2024,7,4,14.0,Moderate,2024-07-04
2024,7,5,4.0,Low,2024-07-05
2024,7,6,60.0,Heavy,2024-07-06
2024,7,7,0.0,None,2024-07-07
2024,7,8,26.0,High,2024-07-08
2024,7,9,28.0,High,2024-07-09
2024,7,10,0.0,None,2024-07-10
2024,7,11,0.0,None,2024-07-11
2024,7,12,0.0,None,2024-07-12
2024,7,13,0.0,None,2024-07-13
2024,7,14,0.0,None,2024-07-14
2024,7,15,0.0,None,2024-07-15
2024,7,16,0.0,None,2024-07-16
2024,7,17,0.0,None,2024-07-17
2024,7,18,0.0,None,2024-07-18
2024,7,19,0.0,None,2024-07-19
2024,7,20,0.0,None,2024-07-20
2024,7,21,0.0,None,2024-07-21
2024,7,22,0.0,None,2024-07-22
2024,7,23,0.0,None,2024-07-23
2024,7,24,0.0,None,2024-07-24
2024,7,25,0.0,None,2024-07-25
2024,7,26,0.0,None,2024-07-26
2024,7,27,0.0,None,2024-07-27
2024,7,28,0.0,None,2024-07-28
2024,7,29,0.0,None,2024-07-29
2024,7,30,0.0,None,2024-07-30
2024,7,31,0.0,None,2024-07-31
2024,8,1,0.0,None,2024-08-01
2024,8,2,3.0,Low,2024-08-02
2024,8,3,0.0,None,2024-08-03
2024,8,4,0.2,None,2024-08-04
2024,8,5,5.0,Low,2024-08-05
2024,8,6,0.0,None,2024-08-06
2024,8,7,0.0,None,2024-08-07
2024,8,8,0.0,None,2024-08-08
2024,8,9,0.0,None,2024-08-09
2024,8,10,0.0,None,2024-08-10
2024,8,11,0.0,None,2024-08-11
2024,8,12,0.2,None,2024-08-12
2024,8,13,0.0,None,2024-08-13
2024,8,14,0.0,None,2024-08-14
2024,8,15,0.0,None,2024-08-15
2024,8,16,0.0,None,2024-08-16
2024,8,17,0.0,None,2024-08-17
2024,8,18,0.0,None,2024-08-18
2024,8,19,0.0,None,2024-08-19
2024,8,20,0.0,None,2024-08-20
2024,8,21,0.0,None,2024-08-21
2024,8,22,0.0,None,2024-08-22
2024,8,23,0.0,None,2024-08-23
2024,8,24,0.0,None,2024-08-24
2024,8,25,0.0,None,2024-08-25
2024,8,26,0.0,None,2024-08-26
2024,8,27,0.0,None,2024-08-27
2024,8,28,0.0,None,2024-08-28
2024,8,29,0.0,None,2024-08-29
2024,8,30,0.0,None,2024-08-30
2024,8,31,0.0,None,2024-08-31
2024,9,1,0.0,None,2024-09-01
2024,9,2,0.0,None,2024-09-02
2024,9,3,0.0,None,2024-09-03
2024,9,4,0.0,None,2024-09-04
2024,9,5,0.0,None,2024-09-05
2024,9,6,0.0,None,2024-09-06
2024,9,7,0.0,None,2024-09-07
2024,9,8,0.0,None,2024-09-08
2024,9,9,11.0,Moderate,2024-09-09
2024,9,10,11.0,Moderate,2024-09-10
2024,9,11,0.0,None,2024-09-11
2024,9,12,8.0,Low,2024-09-12
2024,9,13,0.0,None,2024-09-13
2024,9,14,0.0,None,2024-09-14
2024,9,15,0.0,None,2024-09-15
2024,9,16,0.0,None,2024-09-16
2024,9,17,0.0,None,2024-09-17
2024,9,18,0.0,None,2024-09-18
2024,9,19,0.0,None,2024-09-19
2024,9,20,0.0,None,2024-09-20
2024,9,21,0.0,None,2024-09-21
2024,9,22,0.0,None,2024-09-22
2024,9,23,0.0,None,2024-09-23
2024,9,24,2.0,Low,2024-09-24
2024,9,25,46.0,High,2024-09-25
2024,9,26,28.0,High,2024-09-26
2024,9,27,27.0,High,2024-09-27
2024,9,28,0.0,None,2024-09-28
2024,9,29,0.0,None,2024-09-29
2024,9,30,0.0,None,2024-09-30
2024,10,1,0.0,None,2024-10-01
2024,10,2,0.0,None,2024-10-02
2024,10,3,0.0,None,2024-10-03
2024,10,4,0.0,None,2024-10-04
2024,10,5,0.0,None,2024-10-05
2024,10,6,0.0,None,2024-10-06
2024,10,7,0.0,None,2024-10-07
2024,10,8,0.0,None,2024-10-08
2024,10,9,0.0,None,2024-10-09
2024,10,10,0.0,None,2024-10-10
2024,10,11,0.0,None,2024-10-11
2024,10,12,0.0,None,2024-10-12
2024,10,13,0.0,None,2024-10-13
2024,10,14,1.1,None,2024-10-14
2024,10,15,1.0,None,2024-10-15
2024,10,16,0.0,None,2024-10-16
2024,10,17,0.0,None,2024-10-17
2024,10,18,0.0,None,2024-10-18
2024,10,19,0.0,None,2024-10-19
2024,10,20,0.0,None,2024-10-20
2024,10,21,0.0,None,2024-10-21
2024,10,22,0.0,None,2024-10-22
2024,10,23,0.0,None,2024-10-23
2024,10,24,47.0,High,2024-10-24
2024,10,25,9.0,Low,2024-10-25
2024,10,26,4.0,Low,2024-10-26
2024,10,27,0.0,None,2024-10-27
2024,10,28,0.0,None,2024-10-28
2024,10,29,0.0,None,2024-10-29
2024,10,30,0.0,None,2024-10-30
2024,10,31,0.0,None,2024-10-31
2024,11,1,0.0,None,2024-11-01
2024,11,2,0.0,None,2024-11-02
2024,11,3,0.0,None,2024-11-03
2024,11,4,0.0,None,2024-11-04
2024,11,5,0.0,None,2024-11-05
2024,11,6,0.0,None,2024-11-06
2024,11,7,0.0,None,2024-11-07
2024,11,8,0.0,None,2024-11-08
2024,11,9,0.0,None,2024-11-09
2024,11,10,0.0,None,2024-11-10
2024,11,11,0.0,None,2024-11-11
2024,11,12,0.0,None,2024-11-12
2024,11,13,0.0,None,2024-11-13
2024,11,14,1.1,None,2024-11-14
2024,11,15,1.0,None,2024-11-15
2024,11,16,0.0,None,2024-11-16
2024,11,17,0.0,None,2024-11-17
2024,11,18,0.0,None,2024-11-18
2024,11,19,0.0,None,2024-11-19
2024,11,20,0.0,None,2024-11-20
2024,11,21,0.0,None,2024-11-21
2024,11,22,0.0,None,2024-11-22
2024,11,23,0.0,None,2024-11-23
2024,11,24,47.0,High,2024-11-24
2024,11,25,9.0,Low,2024-11-25
2024,11,26,4.0,Low,2024-11-26
2024,11,27,0.0,None,2024-11-27
2024,11,28,0.0,None,2024-11-28
2024,11,29,0.0,None,2024-11-29
2024,11,30,0.0,None,2024-11-30
2024,12,1,0.3,None,2024-12-01
2024,12,2,29.0,High,2024-12-02
2024,12,3,4.0,Low,2024-12-03
2024,12,4,4.8,Low,2024-12-04
2024,12,5,27.0,High,2024-12-05
2024,12,6,24.0,Moderate,2024-12-06
2024,12,7,24.0,Moderate,2024-12-07
2024,12,8,6.0,Low,2024-12-08
2024,12,9,17.0,Moderate,2024-12-09
2024,12,10,11.0,Moderate,2024-12-10
2024,12,11,0.2,None,2024-12-11
2024,12,12,1.0,None,2024-12-12
2024,12,13,0.0,None,2024-12-13
2024,12,14,0.0,None,2024-12-14
2024,12,15,20.0,Moderate,2024-12-15
2024,12,16,0.0,None,2024-12-16
2024,12,17,7.0,Low,2024-12-17
2024,12,18,2.2,Low,2024-12-18
2024,12,19,47.0,High,2024-12-19
2024,12,20,16.0,Moderate,2024-12-20
2024,12,21,2.8,Low,2024-12-21
2024,12,22,25.0,Moderate,2024-12-22
2024,12,23,43.0,High,2024-12-23
2024,12,24,14.0,Moderate,2024-12-24
2024,12,25,7.0,Low,2024-12-25
2024,12,26,4.0,Low,2024-12-26
2024,12,27,0.0,None,2024-12-27
2024,12,28,0.0,None,2024-12-28
2024,12,29,0.0,None,2024-12-29
2024,12,30,1.0,None,2024-12-30
2024,12,31,1.6,None,2024-12-31
2025,1,1,4.7,Low,2025-01-01
2025,1,2,7.0,Low,2025-01-02
2025,1,3,12.0,Moderate,2025-01-03
2025,1,4,23.0,Moderate,2025-01-04
2025,1,5,5.2,Low,2025-01-05
2025,1,6,1.6,None,2025-01-06
2025,1,7,4.6,Low,2025-01-07
2025,1,8,7.1,Low,2025-01-08
2025,1,9,4.8,Low,2025-01-09
2025,1,10,5.4,Low,2025-01-10
2025,1,11,22.0,Moderate,2025-01-11
2025,1,12,1.7,None,2025-01-12
2025,1,13,3.2,Low,2025-01-13
2025,1,14,0.9,None,2025-01-14
2025,1,15,0.1,None,2025-01-15
2025,1,16,0.9,None,2025-01-16
2025,1,17,9.3,Low,2025-01-17
2025,1,18,3.7,Low,2025-01-18
2025,1,19,1.7,None,2025-01-19
2025,1,20,3.9,Low,2025-01-20
2025,1,21,12.0,Moderate,2025-01-21
2025,1,22,2.1,Low,2025-01-22
2025,1,23,3.7,Low,2025-01-23
2025,1,24,16.0,Moderate,2025-01-24
2025,1,25,11.0,Moderate,2025-01-25
2025,1,26,1.0,None,2025-01-26
2025,1,27,0.8,None,2025-01-27
2025,1,28,11.0,Moderate,2025-01-28
2025,1,29,2.6,Low,2025-01-29
2025,1,30,6.7,Low,2025-01-30
2025,1,31,35.0,High,2025-01-31
2025,2,1,1.0,None,2025-02-01
2025,2,2,1.3,None,2025-02-02
2025,2,3,0.0,None,2025-02-03
2025,2,4,1.0,None,2025-02-04
2025,2,5,0.0,None,2025-02-05
